Date,España,Italia
2021-07-04 00:00:00+00:00,3833868,4263317
2021-07-05 00:00:00+00:00,3866475,4263797
2021-07-06 00:00:00+00:00,3880612,4264704
2021-07-07 00:00:00+00:00,3897996,4265714
2021-07-08 00:00:00+00:00,3915313,4267105
2021-07-09 00:00:00+00:00,3937192,4268491
2021-07-10 00:00:00+00:00,3937192,4269885
2021-07-11 00:00:00+00:00,3937192,4271276
2021-07-12 00:00:00+00:00,3971124,4272163
2021-07-13 00:00:00+00:00,4015084,4273693
2021-07-14 00:00:00+00:00,4041474,4275846
2021-07-15 00:00:00+00:00,4069162,4278319
2021-07-16 00:00:00+00:00,4100222,4281214
2021-07-17 00:00:00+00:00,4100222,4284332
2021-07-18 00:00:00+00:00,4100222,4287458
2021-07-19 00:00:00+00:00,4161850,4289528
2021-07-20 00:00:00+00:00,4189136,4293083
2021-07-21 00:00:00+00:00,4219723,4297337
2021-07-22 00:00:00+00:00,4249258,4302393
2021-07-23 00:00:00+00:00,4280429,4307535
2021-07-24 00:00:00+00:00,4280429,4312673
2021-07-25 00:00:00+00:00,4280429,4317415
2021-07-26 00:00:00+00:00,4342054,4320530
2021-07-27 00:00:00+00:00,4368453,4325046
2021-07-28 00:00:00+00:00,4395602,4330739
2021-07-29 00:00:00+00:00,4422291,4336906
2021-07-30 00:00:00+00:00,4447044,4343519
2021-07-31 00:00:00+00:00,4447044,4350028
2021-08-01 00:00:00+00:00,4447044,4355348
2021-08-02 00:00:00+00:00,4502983,4358533
2021-08-03 00:00:00+00:00,4523310,4363374
2021-08-04 00:00:00+00:00,4545184,4369964
2021-08-05 00:00:00+00:00,4566571,4377188
2021-08-06 00:00:00+00:00,4588132,4383787
2021-08-07 00:00:00+00:00,4588132,4390684
2021-08-08 00:00:00+00:00,4588132,4396417
2021-08-09 00:00:00+00:00,4627770,4400617
2021-08-10 00:00:00+00:00,4643450,4406241
2021-08-11 00:00:00+00:00,4660473,4413162
2021-08-12 00:00:00+00:00,4677883,4420429
2021-08-13 00:00:00+00:00,4693540,4427827
2021-08-14 00:00:00+00:00,4693540,4435008
2021-08-15 00:00:00+00:00,4693540,4440669
2021-08-16 00:00:00+00:00,4719266,4444338
2021-08-17 00:00:00+00:00,4733602,4449606
2021-08-18 00:00:00+00:00,4745558,4456765
2021-08-19 00:00:00+00:00,4758003,4464005
2021-08-20 00:00:00+00:00,4770453,4471225
2021-08-21 00:00:00+00:00,4770453,4478691
2021-08-22 00:00:00+00:00,4770453,4484613
2021-08-23 00:00:00+00:00,4794352,4488779
